split,quality,file_name,raw_min,raw_max,raw_mean,raw_std,raw_median,raw_p90,raw_p95,raw_p99,raw_p99_5,raw_p99_9,zero_ratio,norm_min,norm_max,norm_mean,norm_std,norm_median,norm_p95,norm_p99,norm_p99_9
Train,LOW,Train_015_LOW.bin,0.0,1870.0,80.4875717163086,36.44329071044922,77.0,127.0,144.0,182.0,201.0,268.0,0.013603515625,0.0,1.0,0.0430414043366909,0.0194883793592453,0.04117647185921669,0.07700534909963608,0.09732620418071747,0.14331550896167755
Train,HIGH,Train_015_HIGH.bin,0.0,10122.0,117.19869995117188,141.17710876464844,87.0,186.0,296.0,722.0,977.0,1691.0,0.013603515625,0.0,1.0,0.011578602716326714,0.013947551138699055,0.008595139719545841,0.029243232682347298,0.07132977992296219,0.16706185042858124
Train,LOW,Train_016_LOW.bin,0.0,4183.0,85.19591522216797,44.14305114746094,79.0,135.0,156.0,219.0,265.0,419.0,0.013603564453125,0.0,1.0,0.02036718837916851,0.0105529660359025,0.018885966390371323,0.03729380667209625,0.05235476791858673,0.10016734153032303
Train,HIGH,Train_016_HIGH.bin,0.0,26382.0,166.4333953857422,347.1549987792969,91.0,231.0,562.0,1761.0,2391.0,4098.0,0.013603662109375,0.0,1.0,0.006308597046881914,0.013158785179257393,0.0034493214916437864,0.02130240388214588,0.06675005704164505,0.15533317625522614
Train,LOW,Train_017_LOW.bin,0.0,1395.0,81.65049743652344,38.3298454284668,77.0,129.0,147.0,189.0,212.0,316.0,0.013603564453125,0.0,1.0,0.05853084847331047,0.027476582676172256,0.055197130888700485,0.10537634044885635,0.13548387587070465,0.226523295044899
Train,HIGH,Train_017_HIGH.bin,0.0,12185.0,116.53202819824219,160.48976135253906,86.0,179.0,281.0,758.0,1077.0,2079.0,0.013603564453125,0.0,1.0,0.009563568979501724,0.013171096332371235,0.007057858165353537,0.02306114137172699,0.06220763176679611,0.17061960697174072
Train,LOW,Train_018_LOW.bin,0.0,2305.0,81.69788360595703,37.301395416259766,78.0,129.0,147.0,188.0,207.0,267.0,0.0136037109375,0.0,1.0,0.035443808883428574,0.01618281379342079,0.033839479088783264,0.06377440690994263,0.08156181871891022,0.11583513766527176
Train,HIGH,Train_018_HIGH.bin,0.0,25124.0,127.86820983886719,164.87718200683594,88.0,219.0,378.0,858.0,1114.0,1791.0,0.01360361328125,0.0,1.0,0.0050894771702587605,0.00656253332272172,0.0035026269033551216,0.015045374631881714,0.034150611609220505,0.07128641754388809
Train,LOW,Train_019_LOW.bin,0.0,1997.0,83.71314239501953,45.93776321411133,78.0,133.0,154.0,218.0,267.0,485.0,0.013603564453125,0.0,1.0,0.04191944748163223,0.023003367707133293,0.039058588445186615,0.07711566984653473,0.10916374623775482,0.24286429584026337
Train,HIGH,Train_019_HIGH.bin,0.0,14309.0,147.20558166503906,277.42132568359375,92.0,223.0,418.0,1280.0,1882.0,3623.0,0.013603564453125,0.0,1.0,0.010287611745297909,0.01938789337873459,0.006429519969969988,0.029212383553385735,0.08945418894290924,0.2531972825527191
Train,LOW,Train_020_LOW.bin,0.0,1046.0,80.65990447998047,37.96414566040039,76.0,129.0,149.0,196.0,217.0,266.0,0.0136037109375,0.0,1.0,0.07711287587881088,0.03629457578063011,0.0726577416062355,0.14244741201400757,0.18738049268722534,0.25430211424827576
