split,low_file,high_file,low_raw_min,low_raw_max,low_raw_mean,low_raw_p99,high_raw_min,high_raw_max,high_raw_mean,high_raw_p99,max_ratio_high_over_low,mean_ratio_high_over_low,p99_ratio_high_over_low,low_norm_mean,high_norm_mean,raw_pearson_correlation,norm_pearson_correlation,normalized_mae,normalized_rmse
Train,Train_019_LOW.bin,Train_019_HIGH.bin,0.0,1997.0,83.71314239501953,218.0,0.0,14309.0,147.20558166503906,1280.0,7.1652478717718315,1.7584524655977132,5.871559632758185,0.04191944748163223,0.010287611745297909,0.18129422671753964,0.18129422660318692,0.034359872341156006,0.0418003685772419
Train,Train_020_LOW.bin,Train_020_HIGH.bin,0.0,1046.0,80.65990447998047,196.0,0.0,10462.0,115.59883880615234,677.0,10.001912045793482,1.4331635964249372,3.4540816324768326,0.07711287587881088,0.011049403809010983,0.09836114462813485,0.0983611445100456,0.06649982929229736,0.07573702931404114
Train,Train_021_LOW.bin,Train_021_HIGH.bin,0.0,2054.0,82.24835968017578,197.0,0.0,19934.0,133.02862548828125,955.0,9.704965920108545,1.6174015626498988,4.847715735794532,0.04004295915365219,0.006673463620245457,0.25126805414011366,0.2512680540140933,0.03384016081690788,0.03842466324567795
Train,Train_022_LOW.bin,Train_022_HIGH.bin,0.0,8382.0,82.3051528930664,190.0,0.0,39987.0,134.357177734375,1004.0,4.770579813881208,1.6324272903376056,5.284210526037673,0.00981927290558815,0.003360017668455839,0.2660001614808352,0.2660001617066759,0.0072898538783192635,0.008802964352071285
Train,Train_023_LOW.bin,Train_023_HIGH.bin,0.0,2182.0,82.60838317871094,210.0,0.0,29566.0,144.97216796875,1156.0,13.549954170423694,1.7549328817824092,5.504761904499773,0.03785902261734009,0.0049033439718186855,0.3592866378185173,0.3592866377233339,0.03315307945013046,0.03749862313270569
Train,Train_024_LOW.bin,Train_024_HIGH.bin,0.0,1353.0,77.77742767333984,187.0,0.0,12929.0,125.4073486328125,1006.0,9.555801921584955,1.6123874544088983,5.379679144097343,0.05748526006937027,0.009699718095362186,0.22565651808821807,0.22565651806560266,0.04884616658091545,0.055581871420145035
Train,Train_025_LOW.bin,Train_025_HIGH.bin,0.0,4521.0,91.20911407470703,220.0,0.0,34092.0,139.8754425048828,1012.0,7.540809555391416,1.533568699888684,4.599999999790909,0.020174527540802956,0.004102885723114014,0.3613402035288821,0.36134020298281105,0.01635146513581276,0.01857990212738514
Train,Train_026_LOW.bin,Train_026_HIGH.bin,0.0,2104.0,83.9180908203125,213.0,0.0,21847.0,143.74571228027344,1296.0,10.383555133030496,1.7129287720681832,6.084507041967863,0.03988498076796532,0.00657966174185276,0.36817071161697246,0.3681707112536572,0.0340275801718235,0.03892039880156517
Train,Train_027_LOW.bin,Train_027_HIGH.bin,0.0,3286.0,84.3211898803711,207.0,0.0,13354.0,136.27194213867188,1081.0,4.0639074862931714,1.6161055402069606,5.222222221969941,0.025660742074251175,0.010204569436609745,0.43235939581639155,0.43235939638395016,0.01803218014538288,0.021760638803243637
Train,Train_028_LOW.bin,Train_028_HIGH.bin,0.0,1483.0,87.30011749267578,241.0,0.0,15077.0,187.54714965820312,1982.0,10.16655428179254,2.148303519207231,8.224066389700246,0.058867234736680984,0.012439301237463951,0.392157773972558,0.39215777330352797,0.048753879964351654,0.056263674050569534
Train,Train_029_LOW.bin,Train_029_HIGH.bin,0.0,1611.0,88.17493438720703,233.0,0.0,12687.0,136.94522094726562,1110.0,7.875232774625232,1.5531082827956537,4.763948497649616,0.05473308265209198,0.010794145055115223,0.4079225899304022,0.40792259020169985,0.04486917704343796,0.051613107323646545
Train,Train_030_LOW.bin,Train_030_HIGH.bin,0.0,1443.0,86.31014251708984,229.0,0.0,9118.0,158.19891357421875,1367.0,6.31878031873653,1.8329122040850003,5.969432314149806,0.05981302633881569,0.017350202426314354,0.49759830581135023,0.4975983056307281,0.04489532485604286,0.051816243678331375
Train,Train_031_LOW.bin,Train_031_HIGH.bin,0.0,997.0,79.10009765625,184.0,0.0,21576.0,138.04518127441406,931.0,21.640922768087854,1.7451960913736575,5.059782608420663,0.07933810353279114,0.006398099008947611,0.24929114803264565,0.24929114817161713,0.07301848381757736,0.08144309371709824
Train,Train_032_LOW.bin,Train_032_HIGH.bin,0.0,2374.0,90.35138702392578,256.0,0.0,36923.0,163.4851531982422,1602.0,15.553074978872987,1.8094371161878857,6.257812499755554,0.03805870562791824,0.004427739419043064,0.321161961209349,0.32116196113743584,0.03401336446404457,0.03963750973343849
